fake,,,,real,,,,,
3599,0.001847543,,,995644,0.995535612,,,,
1391,0.003868002,wrong,938,999811,0.988874435,wrong,536,,
1688,0.005372408,accuracy,81.24%,997652,0.988286555,accuracy,89.28%,,
2350,0.007318138,,,996913,0.98490566,,,,Totol accuracy
3655,0.008651251,,,999445,0.981692076,,,,85.26%
2672,0.011134328,,,997136,0.976209819,,,,
4165,0.011463451,,,997607,0.971996069,,,,
1817,0.015558619,,,995052,0.969598532,,,,
1846,0.017883779,,,995767,0.969540596,,,,
4459,0.017912386,,,998089,0.96916312,,,,
3110,0.018585393,,,997301,0.961247861,,,,
209,0.018725889,,,998695,0.95835489,,,,
1274,0.019193351,,,999655,0.951437235,,,,
3939,0.020331945,,,996501,0.95097363,,,,
785,0.020629745,,,996456,0.950837493,,,,
2287,0.020886157,,,998509,0.950551033,,,,
2026,0.023913631,,,999675,0.9457739,,,,
2357,0.025417443,,,997726,0.945428967,,,,
4879,0.029434791,,,996892,0.944222629,,,,
3224,0.031518679,,,998445,0.94380641,,,,
577,0.031817287,,,997963,0.943393946,,,,
4569,0.032213137,,,999336,0.943235576,,,,
4870,0.033755004,,,995950,0.940350711,,,,
4470,0.034314957,,,999333,0.939389467,,,,
4446,0.035625137,,,998650,0.93888551,,,,
3648,0.036721345,,,998062,0.93739897,,,,
3231,0.03716382,,,999883,0.934937835,,,,
4330,0.03791932,,,996709,0.934039235,,,,
2004,0.038532306,,,995067,0.931984842,,,,
2800,0.038630653,,,999753,0.931528628,,,,
4839,0.039744381,,,999581,0.928424537,,,,
2585,0.039954208,,,997521,0.926682472,,,,
2540,0.040370267,,,997463,0.926341355,,,,
3628,0.040496524,,,997566,0.924690187,,,,
3634,0.040778797,,,997677,0.923071921,,,,
4743,0.041994426,,,999601,0.922368526,,,,
3478,0.042525478,,,998955,0.921339095,,,,
1661,0.042807754,,,996410,0.917462647,,,,
4625,0.045161646,,,996657,0.91678524,,,,
1170,0.045279287,,,997672,0.915865183,,,,
